,Enhancer_region,Gene
0,chr16-8637110-8638009,Xkr4
1,chr16-8637110-8638009,Gm1992
2,chr4-43058514-43059391,Gm19938
3,chr4-43058514-43059391,Gm37381
4,chr4-43058514-43059391,Rp1
5,chr4-43058514-43059391,Sox17
6,chr16-8637110-8638009,Gm37587
7,chr16-8637110-8638009,Gm37323
8,chr16-8637110-8638009,Mrpl15
9,chr16-8637110-8638009,Lypla1
10,chr16-8637110-8638009,Tcea1
11,chr19-4793538-4794435,Rgs20
12,chr19-4793538-4794435,Gm16041
13,chr19-4793538-4794435,Atp6v1h
14,chr15-8659490-8660335,Oprk1
15,chr15-8659490-8660335,Rb1cc1
16,chr15-8659490-8660335,4732440D04Rik
17,chr15-8659490-8660335,Alkal1
18,chr15-8659490-8660335,St18
19,chr15-8659490-8660335,Pcmtd1
20,chr13-83884683-83885582,Gm26901
21,chr13-83884683-83885582,Sntg1
22,chr15-8659490-8660335,Rrs1
23,chr15-8659490-8660335,Adhfe1
24,chr15-8659490-8660335,2610203C22Rik
25,chr15-8659490-8660335,Vxn
26,chr15-8659490-8660335,Mybl1
27,chr15-8659490-8660335,Vcpip1
28,chr16-31274799-31275662,1700034P13Rik
29,chr15-8659490-8660335,Sgk3
30,chr15-8659490-8660335,Mcmdc2
31,chr16-31274799-31275662,Snhg6
32,chr15-8659490-8660335,Tcf24
33,chr16-31274799-31275662,Ppp1r42
34,chr16-31274799-31275662,Gm15818
35,chr16-31274799-31275662,Cops5
36,chr13-83884683-83885582,Cspp1
37,chr13-83884683-83885582,Arfgef1
38,chr13-83884683-83885582,Cpa6
39,chr13-83884683-83885582,Prex2
40,chr13-83884683-83885582,A830018L16Rik
41,chr13-83884683-83885582,Gm17644
42,chr13-83884683-83885582,Sulf1
43,chr13-83884683-83885582,Slco5a1
44,chr13-83884683-83885582,Prdm14
45,chr15-8659490-8660335,Ncoa2
46,chr13-83884683-83885582,Gm29570
47,chr13-83884683-83885582,Tram1
48,chr13-83884683-83885582,Lactb2
49,chr13-83884683-83885582,Xkr9
50,chr13-83884683-83885582,Eya1
51,chr13-83884683-83885582,Gm9947
52,chr13-83884683-83885582,Msc
53,chr13-83884683-83885582,Trpa1
54,chr13-83884683-83885582,Kcnb2
55,chr13-83884683-83885582,Terf1
56,chr13-83884683-83885582,Sbspon
57,chr13-83884683-83885582,4930444P10Rik
58,chr13-83884683-83885582,Rpl7
59,chr13-83884683-83885582,Rdh10
60,chr13-83884683-83885582,Gm28095
61,chr13-83884683-83885582,Stau2
62,chr13-83884683-83885582,Gm7568
63,chr13-83884683-83885582,Ube2w
64,chr13-83884683-83885582,Eloc
65,chr13-83884683-83885582,D030040B21Rik
66,chr13-83884683-83885582,Tmem70
67,chr13-83884683-83885582,Ly96
68,chr13-83884683-83885582,Gm28376
69,chr13-83884683-83885582,Jph1
70,chr13-83884683-83885582,Gdap1
71,chr13-83884683-83885582,Gm28784
72,chr13-83884683-83885582,Pi15
73,chr13-83884683-83885582,Gm28154
